"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","AcceptedLastCmp","Generation","AcceptedPrv","TotalDays"
"1",1957,"Graduation","Single",58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,"0","0","0","0","0","0","1","Baby Boomer Generation",0,664
"2",1954,"Graduation","Single",46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,"0","0","0","0","0","0","0","Baby Boomer Generation",0,114
"3",1965,"Graduation","Together",71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,"0","0","0","0","0","0","0","Generation X",0,313
"4",1984,"Graduation","Together",26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,"0","0","0","0","0","0","0","Millenials",0,140
"5",1981,"PhD","Married",58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,"0","0","0","0","0","0","0","Millenials",0,162
"6",1967,"Master","Together",62513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,"0","0","0","0","0","0","0","Generation X",0,294
"7",1971,"Graduation","Divorced",55635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,"0","0","0","0","0","0","0","Generation X",0,594
"8",1985,"PhD","Married",33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,"0","0","0","0","0","0","0","Millenials",0,418
"9",1974,"PhD","Together",30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,"0","0","0","0","0","0","1","Generation X",0,389
"10",1950,"PhD","Together",5648,1,1,68,28,0,6,1,1,13,1,1,0,0,20,"1","0","0","0","0","0","0","Baby Boomer Generation",1,109
"11",1983,"Graduation","Married",NA,1,0,11,5,5,6,0,2,1,1,1,0,2,7,"0","0","0","0","0","0","0","Millenials",0,227
"12",1976,"Basic","Married",7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,"0","0","0","0","0","0","0","Generation X",0,594
"13",1959,"Graduation","Divorced",63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,227
"14",1952,"Master","Divorced",59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,"0","0","0","0","0","0","0","Baby Boomer Generation",0,227
"15",1987,"Graduation","Married",17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,"0","0","0","0","0","0","0","Millenials",0,628
"16",1946,"PhD","Single",82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,"0","0","1","1","0","0","1","Baby Boomer Generation",2,583
"17",1980,"Graduation","Married",41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,"0","0","0","0","0","0","0","Generation X",0,553
"18",1946,"Graduation","Together",37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,668
"19",1949,"Master","Married",76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,"0","0","0","1","0","0","0","Baby Boomer Generation",1,459
"20",1985,"2n Cycle","Single",33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,"0","0","0","0","0","0","0","Millenials",0,604
"21",1982,"Graduation","Married",37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,"0","0","0","0","0","0","0","Millenials",0,691
"22",1979,"Graduation","Married",2447,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,"0","0","0","0","0","0","0","Generation X",0,540
"23",1949,"PhD","Married",58607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,"0","1","0","0","0","0","0","Baby Boomer Generation",1,554
"24",1954,"PhD","Married",65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,"0","0","0","0","0","0","0","Baby Boomer Generation",0,170
"25",1951,"Graduation","Together",40689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,"0","0","0","0","0","0","0","Baby Boomer Generation",0,469
"26",1969,"Graduation","Single",18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,"0","0","0","0","0","0","0","Generation X",0,544
"27",1976,"Graduation","Married",53359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,"0","0","0","0","0","0","0","Generation X",0,399
"28",1986,"Graduation","Single",NA,1,0,19,5,1,3,3,263,362,0,27,0,0,1,"0","0","0","0","0","0","0","Millenials",0,495
"29",1989,"Graduation","Married",38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,"0","0","0","0","0","0","0","Millenials",0,395
"30",1965,"PhD","Married",84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,"0","0","1","0","0","0","0","Generation X",1,220
